Book Title,Author,Highlight,Location
2666 (Spanish Edition),Roberto Bolaño,Aún se quedaron un rato más.,
2666 (Spanish Edition),Roberto Bolaño,"desmenuzarlo,",
2666 (Spanish Edition),Roberto Bolaño,macerado,
2666 (Spanish Edition),Roberto Bolaño,despectivas,
2666 (Spanish Edition),Roberto Bolaño,pacotilla,
2666 (Spanish Edition),Roberto Bolaño,"gilipollas,",
2666 (Spanish Edition),Roberto Bolaño,pucheritos,
2666 (Spanish Edition),Roberto Bolaño,faros,
2666 (Spanish Edition),Roberto Bolaño,"era una amante apasionada, aunque su pasión tenía un tiempo limitado.",
2666 (Spanish Edition),Roberto Bolaño,a veces se sentía tan lleno de amor que se hubiera puesto a llorar allí mismo.,
2666 (Spanish Edition),Roberto Bolaño,sustraído,
2666 (Spanish Edition),Roberto Bolaño,"ceniceros,",
2666 (Spanish Edition),Roberto Bolaño,un estado de excitación creciente y de rampante inseguridad.,
2666 (Spanish Edition),Roberto Bolaño,desvivió,
2666 (Spanish Edition),Roberto Bolaño,No hizo falta que lo hiciera.,
2666 (Spanish Edition),Roberto Bolaño,y que,
2666 (Spanish Edition),Roberto Bolaño,pero sólo se limitó a asentir.,
2666 (Spanish Edition),Roberto Bolaño,—Jamás lo hubiera dicho,
2666 (Spanish Edition),Roberto Bolaño,"como si se conocieran desde hacía tiempo,",
2666 (Spanish Edition),Roberto Bolaño,"le provocaban retortijones en el estómago y ganas de ir al baño,",
2666 (Spanish Edition),Roberto Bolaño,el peor marido que se podía echar encima una mujer.,
2666 (Spanish Edition),Roberto Bolaño,Fue directo al grano.,
2666 (Spanish Edition),Roberto Bolaño,tanteó,
2666 (Spanish Edition),Roberto Bolaño,"pelado,",
2666 (Spanish Edition),Roberto Bolaño,alojaron,
2666 (Spanish Edition),Roberto Bolaño,algazara,
2666 (Spanish Edition),Roberto Bolaño,"como reguero de pólvora, como una",
2666 (Spanish Edition),Roberto Bolaño,revancha.,
2666 (Spanish Edition),Roberto Bolaño,"zancadillas,",
2666 (Spanish Edition),Roberto Bolaño,vetaría,
2666 (Spanish Edition),Roberto Bolaño,alud,
2666 (Spanish Edition),Roberto Bolaño,"aupó,",
2666 (Spanish Edition),Roberto Bolaño,como si mordiera una moneda de oro para saber si era de oro.,
2666 (Spanish Edition),Roberto Bolaño,Antaño,
2666 (Spanish Edition),Roberto Bolaño,aunque cuando se reía se le movía la dentadura,
2666 (Spanish Edition),Roberto Bolaño,azotados por el viento del,
2666 (Spanish Edition),Roberto Bolaño,paulatinamente,
2666 (Spanish Edition),Roberto Bolaño,ataduras,
2666 (Spanish Edition),Roberto Bolaño,"(que sufre un proceso a la inversa),",
2666 (Spanish Edition),Roberto Bolaño,(a su manera espantosa),
2666 (Spanish Edition),Roberto Bolaño,"de un pueblo en donde lo menos importante, sin duda, era la cultura.",
2666 (Spanish Edition),Roberto Bolaño,panza,
2666 (Spanish Edition),Roberto Bolaño,embutidos,
2666 (Spanish Edition),Roberto Bolaño,arremolinaba,
2666 (Spanish Edition),Roberto Bolaño,"perentoria,",
2666 (Spanish Edition),Roberto Bolaño,contabilizar,
2666 (Spanish Edition),Roberto Bolaño,algún que otro sobresalto,
2666 (Spanish Edition),Roberto Bolaño,"mostaza,",
2666 (Spanish Edition),Roberto Bolaño,"sólo existiera en sus sueños,",
2666 (Spanish Edition),Roberto Bolaño,vaivenes,
2666 (Spanish Edition),Roberto Bolaño,erinia,
2666 (Spanish Edition),Roberto Bolaño,enlutada,
2666 (Spanish Edition),Roberto Bolaño,"abyección,",
2666 (Spanish Edition),Roberto Bolaño,jolgorio,
2666 (Spanish Edition),Roberto Bolaño,desasimiento,
2666 (Spanish Edition),Roberto Bolaño,colocaba,
2666 (Spanish Edition),Roberto Bolaño,Con desaliento,
2666 (Spanish Edition),Roberto Bolaño,Nada queda atrás.,
2666 (Spanish Edition),Roberto Bolaño,(y no era infrecuente el que no apareciera),
2666 (Spanish Edition),Roberto Bolaño,escatología,
2666 (Spanish Edition),Roberto Bolaño,"gracias a su ánimo, gracias a su fuerza.",
2666 (Spanish Edition),Roberto Bolaño,hazañas,
2666 (Spanish Edition),Roberto Bolaño,índole.,
2666 (Spanish Edition),Roberto Bolaño,retranca,
2666 (Spanish Edition),Roberto Bolaño,"prometeico, pues el dios en cuestión se",
2666 (Spanish Edition),Roberto Bolaño,"sino en forma de certeza inconexa o intuición, en forma de pensamiento negro",
2666 (Spanish Edition),Roberto Bolaño,zambullía,
2666 (Spanish Edition),Roberto Bolaño,setos,
2666 (Spanish Edition),Roberto Bolaño,pululaban,
2666 (Spanish Edition),Roberto Bolaño,bocabajo,
2666 (Spanish Edition),Roberto Bolaño,"oleaginosas,",
2666 (Spanish Edition),Roberto Bolaño,borrasca,
2666 (Spanish Edition),Roberto Bolaño,arrecife,
2666 (Spanish Edition),Roberto Bolaño,irisado,
2666 (Spanish Edition),Roberto Bolaño,No le pareció raro.,
2666 (Spanish Edition),Roberto Bolaño,respingo,
